epoch,step,train_loss_epoch,train_loss_step
0,49,,0.40554964542388916
0,99,,0.3207205533981323
0,149,,0.229635089635849
0,199,,0.19833950698375702
0,249,,0.17378771305084229
0,299,,0.15341992676258087
0,349,,0.1550404131412506
0,389,0.25239402055740356,
1,399,,0.13904120028018951
1,449,,0.13708201050758362
1,499,,0.13676469027996063
1,549,,0.13237464427947998
1,599,,0.13308437168598175
1,649,,0.1287141591310501
1,699,,0.1257435381412506
1,749,,0.12494327127933502
1,779,0.13283240795135498,
2,799,,0.12388893216848373
2,849,,0.1214488223195076
2,899,,0.11545601487159729
2,949,,0.1224396675825119
2,999,,0.11598116904497147
2,1049,,0.11261068284511566
2,1099,,0.11032314598560333
2,1149,,0.1184471920132637
2,1169,0.11818373203277588,
3,1199,,0.10996753722429276
3,1249,,0.11158856004476547
3,1299,,0.1055467277765274
3,1349,,0.10816054046154022
3,1399,,0.1047593504190445
3,1449,,0.10643171519041061
3,1499,,0.11029605567455292
3,1549,,0.10629703849554062
3,1559,0.1084880605340004,
4,1599,,0.11186639219522476
4,1649,,0.10040286183357239
4,1699,,0.10791906714439392
4,1749,,0.11268074810504913
4,1799,,0.09783211350440979
4,1849,,0.10013961046934128
4,1899,,0.1130412295460701
4,1949,,0.09605339169502258
4,1949,0.10276126116514206,
5,1999,,0.10129046440124512
5,2049,,0.09798947721719742
5,2099,,0.10206697881221771
5,2149,,0.09624817222356796
5,2199,,0.09955662488937378
5,2249,,0.10864785313606262
5,2299,,0.09630149602890015
5,2339,0.09809127449989319,
6,2349,,0.09984978288412094
6,2399,,0.09237082302570343
6,2449,,0.09233884513378143
6,2499,,0.1052347794175148
6,2549,,0.0947272926568985
6,2599,,0.0913347601890564
6,2649,,0.09779677540063858
6,2699,,0.08943165093660355
6,2729,0.0943935215473175,
7,2749,,0.09267725050449371
7,2799,,0.0938539206981659
7,2849,,0.09574174880981445
7,2899,,0.09110849350690842
7,2949,,0.08854749798774719
7,2999,,0.09174922108650208
7,3049,,0.09292581677436829
7,3099,,0.096549391746521
7,3119,0.09186587482690811,
8,3149,,0.09215003997087479
8,3199,,0.09121254086494446
8,3249,,0.09914930164813995
8,3299,,0.08803936839103699
8,3349,,0.09184109419584274
8,3399,,0.09290345758199692
8,3449,,0.08963926136493683
8,3499,,0.08581811189651489
8,3509,0.08960302919149399,
9,3549,,0.08689852803945541
9,3599,,0.09516258537769318
9,3649,,0.08896026015281677
9,3699,,0.08718594908714294
9,3749,,0.08392774313688278
9,3799,,0.09036955237388611
9,3849,,0.08188652992248535
9,3899,,0.0853709727525711
9,3899,0.08740563690662384,
10,3949,,0.08763717114925385
10,3999,,0.07709984481334686
10,4049,,0.0856199860572815
10,4099,,0.0895029753446579
10,4149,,0.08567417412996292
10,4199,,0.08496984094381332
10,4249,,0.08384708315134048
10,4289,0.08570302277803421,
11,4299,,0.09567867964506149
11,4349,,0.0842222273349762
11,4399,,0.08921770751476288
11,4449,,0.07879221439361572
11,4499,,0.08134990185499191
11,4549,,0.08265227824449539
11,4599,,0.08147788047790527
11,4649,,0.08325198292732239
11,4679,0.08385127037763596,
12,4699,,0.08157580345869064
12,4749,,0.08282822370529175
12,4799,,0.08048708736896515
12,4849,,0.08062960207462311
12,4899,,0.07761142402887344
12,4949,,0.08022554218769073
12,4999,,0.08140476047992706
12,5049,,0.0806720033288002
12,5069,0.08209450542926788,
13,5099,,0.08052171766757965
13,5149,,0.08342057466506958
13,5199,,0.07984314113855362
13,5249,,0.07655879855155945
13,5299,,0.08417441695928574
13,5349,,0.07564540952444077
13,5399,,0.07843716442584991
13,5449,,0.08578446507453918
13,5459,0.08096321672201157,
14,5499,,0.08336170017719269
14,5549,,0.0739045962691307
